[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:recv 0xfa 
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:[**Process**] _015_00000
[25/04/2021 8:25:54 p. m.]  :  015
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:Disabling watchdog..
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:Get BB Code
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:bootrom_SetLongPressPWKEY(): Long Press PWKEY Start
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:bootrom_SetLongPressPWKEY(): EFUSE = 0x26000000bootrom_SetLongPressPWKEY(): It's MT2501 and MT2502 chip
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:bootrom_SetLongPressPWKEY(): Long Press PWKEY End
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:bootrom_SetLSRSTB(): Set LSRSTB Start
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:bootrom_SetLSRSTB(): Set LSRSTB End
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:bootrom_disable_charge_control(): Disable charge control Start
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:bootrom_disable_charge_control(): Disable charge control End
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:Latching powerkey...
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:Set Remap...
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:XIP
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:[**Process**] _020_00000
[25/04/2021 8:25:54 p. m.]  :  020
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:[**Process**] _022_00000
[25/04/2021 8:25:54 p. m.]  :  022
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:Sending DA1...
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:[**Process**] _025_00000
[25/04/2021 8:25:54 p. m.]  :  025
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:Sending DA2...
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:[**Process**] _028_00000
[25/04/2021 8:25:54 p. m.]  :  028
[25/04/2021 8:25:54 p. m.]  :  Create a new process and it's information is:Transferring control to DA...
